ID_Venda,Data,Produto,Quantidade
218,2025-05-16,Água,3
219,2025-05-16,Cheeseburger,2
220,2025-05-16,Batata Frita,3
221,2025-05-16,Sorvete,1
222,2025-05-16,Cheeseburger,2
223,2025-05-16,Veggie Burger,3
224,2025-05-16,Veggie Burger,1
225,2025-05-16,Cheeseburger,2
226,2025-05-17,Onion Rings,3
227,2025-05-17,Refrigerante,4
228,2025-05-17,Água,3
229,2025-05-17,Batata Frita,2
230,2025-05-17,Refrigerante,4
231,2025-05-17,Cheeseburger,3
232,2025-05-17,Bacon Burger,1
233,2025-05-17,Brownie,3
234,2025-05-17,Refrigerante,1
235,2025-05-17,Refrigerante,2
236,2025-05-17,Refrigerante,2
237,2025-05-17,Refrigerante,1
238,2025-05-17,Sorvete,1
239,2025-05-17,Água,2
240,2025-05-17,Água,3
241,2025-05-17,Batata Frita,1
242,2025-05-18,Cheeseburger,1
243,2025-05-18,Milkshake,2
244,2025-05-18,Veggie Burger,3
245,2025-05-18,Cheeseburger,3
246,2025-05-18,Refrigerante,1
247,2025-05-18,Onion Rings,4
248,2025-05-18,Bacon Burger,3
249,2025-05-18,Sorvete,1
250,2025-05-18,Refrigerante,1
251,2025-05-18,Milkshake,3
252,2025-05-18,Milkshake,4
253,2025-05-18,Milkshake,4
254,2025-05-18,Água,1
255,2025-05-18,Onion Rings,4
256,2025-05-18,Veggie Burger,4
257,2025-05-18,Milkshake,3
258,2025-05-18,Batata Frita,1
259,2025-05-18,Sorvete,3
260,2025-05-19,Refrigerante,1
261,2025-05-19,Onion Rings,3
262,2025-05-19,Onion Rings,4
263,2025-05-19,Água,4
264,2025-05-19,Sorvete,4
265,2025-05-19,Refrigerante,4
266,2025-05-19,Água,4
267,2025-05-19,Milkshake,4
268,2025-05-19,Sorvete,4
269,2025-05-19,Cheeseburger,1
270,2025-05-19,Onion Rings,4
271,2025-05-19,Sorvete,4
272,2025-05-19,Milkshake,4
273,2025-05-19,Cheeseburger,1
274,2025-05-19,Brownie,4
275,2025-05-20,Milkshake,4
276,2025-05-20,Bacon Burger,3
277,2025-05-20,Milkshake,1
278,2025-05-20,Água,2
279,2025-05-20,Refrigerante,1
280,2025-05-20,Sorvete,2
281,2025-05-20,Cheeseburger,3
282,2025-05-20,Sorvete,3
283,2025-05-20,Refrigerante,4
284,2025-05-20,Veggie Burger,1
285,2025-05-20,Sorvete,1
286,2025-05-20,Cheeseburger,4
287,2025-05-20,Veggie Burger,4
288,2025-05-20,Milkshake,2
289,2025-05-20,Cheeseburger,1
290,2025-05-20,Cheeseburger,1
291,2025-05-20,Bacon Burger,3
292,2025-05-20,Veggie Burger,2
293,2025-05-20,Refrigerante,4
294,2025-05-20,Refrigerante,2
295,2025-05-21,Refrigerante,3
296,2025-05-21,Brownie,4
297,2025-05-21,Água,2
298,2025-05-21,Cheeseburger,3
299,2025-05-21,Brownie,2
300,2025-05-21,Milkshake,4
301,2025-05-21,Água,3
302,2025-05-21,Bacon Burger,3
303,2025-05-21,Onion Rings,1
304,2025-05-22,Brownie,2
305,2025-05-22,Onion Rings,1
306,2025-05-22,Água,4
307,2025-05-22,Milkshake,1
308,2025-05-22,Onion Rings,1
309,2025-05-22,Refrigerante,2
310,2025-05-22,Refrigerante,4
311,2025-05-22,Milkshake,4
312,2025-05-22,Cheeseburger,1
313,2025-05-22,Batata Frita,2
314,2025-05-22,Cheeseburger,1
315,2025-05-22,Cheeseburger,3
316,2025-05-22,Brownie,3
317,2025-05-22,Onion Rings,3
318,2025-05-22,Milkshake,1
319,2025-05-22,Batata Frita,1
320,2025-05-22,Refrigerante,2
321,2025-05-23,Água,3
322,2025-05-23,Veggie Burger,4
323,2025-05-23,Cheeseburger,4
324,2025-05-23,Veggie Burger,3
325,2025-05-23,Sorvete,2
326,2025-05-23,Sorvete,1
327,2025-05-23,Cheeseburger,2
328,2025-05-23,Batata Frita,4
329,2025-05-23,Milkshake,4
330,2025-05-23,Água,4
331,2025-05-23,Brownie,3
332,2025-05-23,Batata Frita,1
333,2025-05-23,Milkshake,1
334,2025-05-23,Cheeseburger,2
335,2025-05-24,Refrigerante,4
336,2025-05-24,Milkshake,1
337,2025-05-24,Veggie Burger,3
338,2025-05-24,Bacon Burger,3
339,2025-05-24,Cheeseburger,1
340,2025-05-24,Cheeseburger,3
341,2025-05-24,Sorvete,1
342,2025-05-24,Onion Rings,3
343,2025-05-24,Cheeseburger,1
344,2025-05-24,Sorvete,4
345,2025-05-24,Onion Rings,3
346,2025-05-24,Água,4
347,2025-05-24,Batata Frita,1
348,2025-05-24,Veggie Burger,4
349,2025-05-24,Cheeseburger,2
350,2025-05-25,Brownie,1
351,2025-05-25,Brownie,4
352,2025-05-25,Milkshake,2
353,2025-05-25,Refrigerante,1
354,2025-05-25,Brownie,3
355,2025-05-25,Bacon Burger,1
356,2025-05-25,Água,4
357,2025-05-25,Cheeseburger,4
358,2025-05-25,Refrigerante,3
359,2025-05-25,Bacon Burger,2
360,2025-05-26,Bacon Burger,4
361,2025-05-26,Refrigerante,4
362,2025-05-26,Batata Frita,1
363,2025-05-26,Refrigerante,4
364,2025-05-26,Batata Frita,4
365,2025-05-26,Onion Rings,4
366,2025-05-26,Batata Frita,4
367,2025-05-26,Milkshake,1
368,2025-05-26,Milkshake,4
369,2025-05-26,Cheeseburger,3
370,2025-05-26,Batata Frita,1
371,2025-05-26,Brownie,2
372,2025-05-26,Bacon Burger,1
373,2025-05-26,Sorvete,1
374,2025-05-26,Onion Rings,3
375,2025-05-26,Refrigerante,4
376,2025-05-26,Cheeseburger,1
377,2025-05-26,Cheeseburger,4
378,2025-05-27,Veggie Burger,1
379,2025-05-27,Cheeseburger,2
380,2025-05-27,Brownie,3
381,2025-05-27,Batata Frita,3
382,2025-05-27,Sorvete,1
383,2025-05-27,Milkshake,2
384,2025-05-27,Cheeseburger,1
385,2025-05-27,Veggie Burger,4
386,2025-05-27,Bacon Burger,4
387,2025-05-27,Batata Frita,3
388,2025-05-27,Onion Rings,2
389,2025-05-28,Refrigerante,3
390,2025-05-28,Água,2
391,2025-05-28,Bacon Burger,4
392,2025-05-28,Cheeseburger,2
393,2025-05-28,Sorvete,1
394,2025-05-28,Sorvete,1
395,2025-05-28,Sorvete,4
396,2025-05-28,Refrigerante,4
397,2025-05-28,Água,3
398,2025-05-28,Onion Rings,4
399,2025-05-28,Água,1
400,2025-05-28,Milkshake,1
401,2025-05-28,Batata Frita,3
402,2025-05-28,Brownie,4
403,2025-05-28,Sorvete,1
404,2025-05-28,Sorvete,1
405,2025-05-28,Batata Frita,3
406,2025-05-28,Sorvete,2
407,2025-05-29,Sorvete,1
408,2025-05-29,Refrigerante,2
409,2025-05-29,Brownie,4
410,2025-05-29,Onion Rings,4
411,2025-05-29,Veggie Burger,3
412,2025-05-29,Sorvete,3
413,2025-05-29,Cheeseburger,1
414,2025-05-29,Veggie Burger,4
415,2025-05-29,Brownie,3
416,2025-05-29,Batata Frita,2
417,2025-05-29,Bacon Burger,2
418,2025-05-29,Batata Frita,1
419,2025-05-29,Batata Frita,2
420,2025-05-29,Onion Rings,2
421,2025-05-29,Veggie Burger,4
422,2025-05-29,Cheeseburger,2
423,2025-05-29,Veggie Burger,2
424,2025-05-29,Água,2
425,2025-05-29,Bacon Burger,3
426,2025-05-29,Batata Frita,3
427,2025-05-30,Água,2
428,2025-05-30,Batata Frita,3
429,2025-05-30,Brownie,1
430,2025-05-30,Veggie Burger,3
431,2025-05-30,Batata Frita,2
432,2025-05-30,Brownie,3
433,2025-05-30,Milkshake,4
434,2025-05-30,Brownie,1
435,2025-05-31,Bacon Burger,4
436,2025-05-31,Milkshake,3
437,2025-05-31,Bacon Burger,3
438,2025-05-31,Refrigerante,1
439,2025-05-31,Sorvete,4
440,2025-05-31,Sorvete,3
441,2025-05-31,Veggie Burger,2
442,2025-05-31,Sorvete,1
443,2025-05-31,Brownie,4
444,2025-05-31,Milkshake,3
445,2025-05-31,Refrigerante,4
446,2025-05-31,Veggie Burger,4
447,2025-05-31,Refrigerante,3
448,2025-05-31,Batata Frita,1
449,2025-05-31,Sorvete,3
450,2025-05-31,Batata Frita,1
451,2025-05-31,Cheeseburger,2
452,2025-06-01,Bacon Burger,3
453,2025-06-01,Onion Rings,3
454,2025-06-01,Água,4
455,2025-06-01,Água,2
456,2025-06-01,Batata Frita,2
457,2025-06-01,Cheeseburger,3
458,2025-06-01,Cheeseburger,1
459,2025-06-01,Milkshake,1
460,2025-06-01,Refrigerante,4
461,2025-06-01,Refrigerante,2
462,2025-06-01,Bacon Burger,2
463,2025-06-01,Batata Frita,4
464,2025-06-01,Onion Rings,3
465,2025-06-01,Refrigerante,3
466,2025-06-01,Água,4
467,2025-06-01,Bacon Burger,2
468,2025-06-01,Refrigerante,1
469,2025-06-01,Batata Frita,3
470,2025-06-02,Bacon Burger,1
471,2025-06-02,Milkshake,1
472,2025-06-02,Cheeseburger,4
473,2025-06-02,Refrigerante,1
474,2025-06-02,Refrigerante,1
475,2025-06-02,Sorvete,3
476,2025-06-02,Brownie,2
477,2025-06-02,Refrigerante,4
478,2025-06-02,Bacon Burger,4
479,2025-06-03,Cheeseburger,4
480,2025-06-03,Brownie,1
481,2025-06-03,Veggie Burger,2
482,2025-06-03,Batata Frita,2
483,2025-06-03,Batata Frita,3
484,2025-06-03,Refrigerante,3
485,2025-06-03,Milkshake,2
486,2025-06-03,Brownie,4
487,2025-06-03,Bacon Burger,4
488,2025-06-03,Brownie,2
489,2025-06-03,Água,4
490,2025-06-03,Veggie Burger,1
491,2025-06-03,Refrigerante,2
492,2025-06-03,Onion Rings,3
493,2025-06-03,Refrigerante,2
494,2025-06-03,Cheeseburger,4
495,2025-06-04,Sorvete,2
496,2025-06-04,Brownie,2
497,2025-06-04,Refrigerante,3
498,2025-06-04,Bacon Burger,4
499,2025-06-04,Bacon Burger,4
500,2025-06-04,Veggie Burger,3
501,2025-06-04,Bacon Burger,2
502,2025-06-04,Milkshake,3
503,2025-06-04,Bacon Burger,1
504,2025-06-04,Brownie,2
505,2025-06-04,Cheeseburger,4
506,2025-06-05,Água,4
507,2025-06-05,Água,2
508,2025-06-05,Veggie Burger,4
509,2025-06-05,Milkshake,4
510,2025-06-05,Refrigerante,3
511,2025-06-05,Veggie Burger,1
512,2025-06-05,Sorvete,3
513,2025-06-05,Bacon Burger,1
514,2025-06-05,Água,3
515,2025-06-05,Veggie Burger,3
516,2025-06-05,Cheeseburger,3
517,2025-06-05,Brownie,4
518,2025-06-05,Milkshake,1
519,2025-06-05,Milkshake,4
520,2025-06-05,Batata Frita,3
521,2025-06-05,Cheeseburger,2
522,2025-06-06,Milkshake,4
523,2025-06-06,Onion Rings,1
524,2025-06-06,Água,2
525,2025-06-06,Onion Rings,3
526,2025-06-06,Brownie,1
527,2025-06-06,Milkshake,1
528,2025-06-06,Milkshake,3
529,2025-06-06,Onion Rings,2
530,2025-06-06,Onion Rings,1
531,2025-06-06,Sorvete,1
532,2025-06-06,Brownie,4
533,2025-06-06,Milkshake,4
534,2025-06-06,Veggie Burger,2
535,2025-06-06,Sorvete,4
536,2025-06-06,Sorvete,1
537,2025-06-06,Sorvete,1
538,2025-06-06,Veggie Burger,2
539,2025-06-06,Milkshake,3
540,2025-06-06,Veggie Burger,1
541,2025-06-06,Batata Frita,4
542,2025-06-07,Onion Rings,2
543,2025-06-07,Refrigerante,4
544,2025-06-07,Cheeseburger,1
545,2025-06-07,Sorvete,1
546,2025-06-07,Brownie,4
547,2025-06-07,Veggie Burger,2
548,2025-06-07,Milkshake,3
549,2025-06-07,Refrigerante,3
550,2025-06-07,Milkshake,3
551,2025-06-07,Milkshake,4
552,2025-06-07,Veggie Burger,2
553,2025-06-07,Brownie,3
554,2025-06-07,Milkshake,4
555,2025-06-07,Brownie,2
556,2025-06-08,Batata Frita,2
557,2025-06-08,Onion Rings,1
558,2025-06-08,Brownie,3
559,2025-06-08,Cheeseburger,2
560,2025-06-08,Sorvete,1
561,2025-06-08,Onion Rings,4
562,2025-06-08,Refrigerante,1
563,2025-06-08,Veggie Burger,2
564,2025-06-08,Bacon Burger,3
565,2025-06-08,Onion Rings,4
566,2025-06-08,Cheeseburger,4
567,2025-06-08,Veggie Burger,2
568,2025-06-08,Brownie,1
569,2025-06-09,Água,4
570,2025-06-09,Sorvete,1
571,2025-06-09,Água,1
572,2025-06-09,Veggie Burger,4
573,2025-06-09,Bacon Burger,2
574,2025-06-09,Bacon Burger,1
575,2025-06-09,Brownie,4
576,2025-06-09,Cheeseburger,3
577,2025-06-09,Batata Frita,3
578,2025-06-09,Batata Frita,3
579,2025-06-09,Milkshake,3
580,2025-06-09,Água,1
581,2025-06-09,Sorvete,4
582,2025-06-09,Onion Rings,2
583,2025-06-09,Onion Rings,3
584,2025-06-09,Cheeseburger,1
585,2025-06-09,Veggie Burger,4
586,2025-06-09,Sorvete,3
587,2025-06-09,Batata Frita,3
588,2025-06-09,Batata Frita,3
589,2025-06-10,Cheeseburger,4
590,2025-06-10,Veggie Burger,2
591,2025-06-10,Bacon Burger,3
592,2025-06-10,Onion Rings,2
593,2025-06-10,Sorvete,1
594,2025-06-10,Batata Frita,4
595,2025-06-10,Água,1
596,2025-06-10,Brownie,3
597,2025-06-10,Refrigerante,1
598,2025-06-10,Sorvete,2
599,2025-06-10,Brownie,4
600,2025-06-10,Veggie Burger,1
601,2025-06-10,Onion Rings,1
602,2025-06-10,Sorvete,2
603,2025-06-11,Água,1
604,2025-06-11,Refrigerante,1
605,2025-06-11,Sorvete,3
606,2025-06-11,Batata Frita,1
607,2025-06-11,Milkshake,2
608,2025-06-11,Milkshake,1
609,2025-06-11,Bacon Burger,3
610,2025-06-11,Água,1
611,2025-06-11,Batata Frita,4
612,2025-06-11,Bacon Burger,2
613,2025-06-11,Veggie Burger,1
614,2025-06-11,Onion Rings,4
615,2025-06-11,Batata Frita,3
616,2025-06-11,Sorvete,1
617,2025-06-11,Bacon Burger,1
618,2025-06-11,Cheeseburger,3
619,2025-06-12,Brownie,1
620,2025-06-12,Batata Frita,1
621,2025-06-12,Cheeseburger,2
622,2025-06-12,Onion Rings,4
623,2025-06-12,Sorvete,4
624,2025-06-12,Onion Rings,3
625,2025-06-12,Brownie,1
626,2025-06-12,Milkshake,1
627,2025-06-12,Sorvete,1
628,2025-06-12,Água,4
629,2025-06-12,Veggie Burger,1
630,2025-06-12,Refrigerante,1
631,2025-06-12,Veggie Burger,2
632,2025-06-12,Veggie Burger,3
633,2025-06-12,Brownie,1
634,2025-06-12,Veggie Burger,1
635,2025-06-12,Onion Rings,1
636,2025-06-12,Milkshake,4
637,2025-06-12,Bacon Burger,4
638,2025-06-12,Milkshake,2
639,2025-06-13,Cheeseburger,2
640,2025-06-13,Refrigerante,2
641,2025-06-13,Brownie,4
642,2025-06-13,Veggie Burger,1
643,2025-06-13,Onion Rings,4
644,2025-06-13,Refrigerante,3
645,2025-06-13,Água,1
646,2025-06-13,Refrigerante,1
647,2025-06-13,Onion Rings,3
648,2025-06-13,Bacon Burger,4
649,2025-06-13,Bacon Burger,3
650,2025-06-13,Água,1
651,2025-06-13,Milkshake,1
652,2025-06-13,Brownie,1
653,2025-06-13,Onion Rings,4
654,2025-06-13,Refrigerante,3
655,2025-06-13,Bacon Burger,4
656,2025-06-13,Sorvete,4
657,2025-06-13,Sorvete,4
658,2025-06-14,Bacon Burger,2
659,2025-06-14,Água,2
660,2025-06-14,Refrigerante,4
661,2025-06-14,Água,4
662,2025-06-14,Água,2
663,2025-06-14,Brownie,3
664,2025-06-14,Batata Frita,4
665,2025-06-14,Cheeseburger,1
666,2025-06-14,Sorvete,1
667,2025-06-14,Milkshake,2
668,2025-06-14,Milkshake,1
669,2025-06-14,Brownie,2
670,2025-06-14,Refrigerante,4
671,2025-06-14,Brownie,2
672,2025-06-14,Onion Rings,2
673,2025-06-14,Sorvete,4
674,2025-06-15,Sorvete,4
675,2025-06-15,Refrigerante,3
676,2025-06-15,Sorvete,1
677,2025-06-15,Batata Frita,3
678,2025-06-15,Veggie Burger,3
679,2025-06-15,Cheeseburger,1
680,2025-06-15,Cheeseburger,4
681,2025-06-15,Água,3
682,2025-06-15,Refrigerante,1
683,2025-06-15,Bacon Burger,2
684,2025-06-15,Batata Frita,2
685,2025-06-15,Bacon Burger,3
686,2025-06-15,Bacon Burger,1
687,2025-06-15,Veggie Burger,3
688,2025-06-15,Refrigerante,3
689,2025-06-15,Veggie Burger,4
690,2025-06-16,Refrigerante,1
691,2025-06-16,Cheeseburger,3
692,2025-06-16,Refrigerante,2
693,2025-06-16,Brownie,2
694,2025-06-16,Cheeseburger,3
695,2025-06-16,Brownie,4
696,2025-06-16,Sorvete,4
697,2025-06-16,Bacon Burger,4
698,2025-06-16,Milkshake,3
699,2025-06-16,Batata Frita,4
700,2025-06-16,Batata Frita,2
701,2025-06-16,Cheeseburger,4
702,2025-06-16,Milkshake,1
703,2025-06-17,Refrigerante,4
704,2025-06-17,Brownie,3
705,2025-06-17,Bacon Burger,4
706,2025-06-17,Brownie,1
707,2025-06-17,Veggie Burger,4
708,2025-06-17,Veggie Burger,4
709,2025-06-17,Brownie,2
710,2025-06-17,Sorvete,2
711,2025-06-17,Refrigerante,4
712,2025-06-17,Água,2
713,2025-06-17,Sorvete,1
714,2025-06-17,Cheeseburger,2
715,2025-06-17,Bacon Burger,4
716,2025-06-17,Sorvete,3
717,2025-06-17,Veggie Burger,1
718,2025-06-17,Milkshake,1
719,2025-06-17,Onion Rings,1
720,2025-06-17,Refrigerante,1
721,2025-06-18,Bacon Burger,4
722,2025-06-18,Onion Rings,4
723,2025-06-18,Sorvete,2
724,2025-06-18,Refrigerante,2
725,2025-06-18,Bacon Burger,3
726,2025-06-18,Veggie Burger,2
727,2025-06-18,Sorvete,4
728,2025-06-18,Batata Frita,2
729,2025-06-18,Bacon Burger,1
730,2025-06-18,Onion Rings,2
731,2025-06-18,Sorvete,1
732,2025-06-18,Água,1
733,2025-06-18,Batata Frita,4
734,2025-06-18,Milkshake,1
735,2025-06-18,Bacon Burger,2
736,2025-06-18,Veggie Burger,1
737,2025-06-18,Bacon Burger,2
738,2025-06-18,Batata Frita,3
739,2025-06-18,Milkshake,3
740,2025-06-19,Brownie,1
741,2025-06-19,Bacon Burger,4
742,2025-06-19,Onion Rings,4
743,2025-06-19,Veggie Burger,2
744,2025-06-19,Bacon Burger,4
745,2025-06-19,Refrigerante,3
746,2025-06-19,Sorvete,2
747,2025-06-19,Milkshake,1
748,2025-06-19,Brownie,4
749,2025-06-19,Água,3
750,2025-06-19,Água,4
751,2025-06-19,Milkshake,2
752,2025-06-19,Sorvete,1
753,2025-06-19,Milkshake,4
754,2025-06-20,Bacon Burger,4
755,2025-06-20,Refrigerante,1
756,2025-06-20,Sorvete,1
757,2025-06-20,Cheeseburger,4
758,2025-06-20,Veggie Burger,1
759,2025-06-20,Veggie Burger,1
760,2025-06-20,Batata Frita,2
761,2025-06-20,Brownie,2
762,2025-06-20,Refrigerante,2
763,2025-06-20,Milkshake,3
764,2025-06-20,Sorvete,1
765,2025-06-20,Milkshake,4
766,2025-06-20,Bacon Burger,3
767,2025-06-20,Bacon Burger,3
768,2025-06-20,Veggie Burger,3
769,2025-06-20,Batata Frita,1
770,2025-06-20,Brownie,3
771,2025-06-21,Sorvete,2
772,2025-06-21,Onion Rings,4
773,2025-06-21,Brownie,3
774,2025-06-21,Milkshake,4
775,2025-06-21,Onion Rings,4
776,2025-06-21,Batata Frita,3
777,2025-06-21,Água,4
778,2025-06-21,Batata Frita,4
779,2025-06-21,Água,3
780,2025-06-21,Água,4
781,2025-06-21,Onion Rings,4
782,2025-06-21,Refrigerante,2
783,2025-06-21,Cheeseburger,4
784,2025-06-21,Brownie,2
785,2025-06-21,Veggie Burger,1
786,2025-06-21,Milkshake,2
787,2025-06-22,Cheeseburger,1
788,2025-06-22,Milkshake,2
789,2025-06-22,Batata Frita,3
790,2025-06-22,Bacon Burger,1
791,2025-06-22,Onion Rings,1
792,2025-06-22,Batata Frita,2
793,2025-06-22,Brownie,3
794,2025-06-22,Veggie Burger,3
