Data,Dia da Semana,Produto,Categoria,Quantidade Vendida
2024-10-20,Sunday,Milkshake,drink,11
2024-10-20,Sunday,Sobremesa,dessert,18
2024-10-21,Monday,Combo Hambúrguer + Batata,combo,46
2024-10-21,Monday,Hambúrguer Simples,burger,29
2024-10-21,Monday,Batata Frita,side,24
2024-10-21,Monday,Refrigerante,drink,26
2024-10-21,Monday,Milkshake,drink,11
2024-10-21,Monday,Sobremesa,dessert,13
2024-10-22,Tuesday,Combo Hambúrguer + Batata,combo,55
2024-10-22,Tuesday,Hambúrguer Simples,burger,30
2024-10-22,Tuesday,Batata Frita,side,21
2024-10-22,Tuesday,Refrigerante,drink,15
2024-10-22,Tuesday,Milkshake,drink,21
2024-10-22,Tuesday,Sobremesa,dessert,7
2024-10-23,Wednesday,Combo Hambúrguer + Batata,combo,51
2024-10-23,Wednesday,Hambúrguer Simples,burger,27
2024-10-23,Wednesday,Batata Frita,side,32
2024-10-23,Wednesday,Refrigerante,drink,17
2024-10-23,Wednesday,Milkshake,drink,12
2024-10-23,Wednesday,Sobremesa,dessert,7
2024-10-24,Thursday,Combo Hambúrguer + Batata,combo,51
2024-10-24,Thursday,Hambúrguer Simples,burger,37
2024-10-24,Thursday,Batata Frita,side,26
2024-10-24,Thursday,Refrigerante,drink,15
2024-10-24,Thursday,Milkshake,drink,9
2024-10-24,Thursday,Sobremesa,dessert,10
2024-10-25,Friday,Combo Hambúrguer + Batata,combo,50
2024-10-25,Friday,Hambúrguer Simples,burger,32
2024-10-25,Friday,Batata Frita,side,23
2024-10-25,Friday,Refrigerante,drink,22
2024-10-25,Friday,Milkshake,drink,9
2024-10-25,Friday,Sobremesa,dessert,9
2024-10-26,Saturday,Combo Hambúrguer + Batata,combo,72
2024-10-26,Saturday,Hambúrguer Simples,burger,48
2024-10-26,Saturday,Batata Frita,side,34
2024-10-26,Saturday,Refrigerante,drink,34
2024-10-26,Saturday,Milkshake,drink,24
2024-10-26,Saturday,Sobremesa,dessert,8
2024-10-27,Sunday,Combo Hambúrguer + Batata,combo,73
2024-10-27,Sunday,Hambúrguer Simples,burger,50
2024-10-27,Sunday,Batata Frita,side,37
2024-10-27,Sunday,Refrigerante,drink,27
2024-10-27,Sunday,Milkshake,drink,23
2024-10-27,Sunday,Sobremesa,dessert,4
2024-10-28,Monday,Combo Hambúrguer + Batata,combo,56
2024-10-28,Monday,Hambúrguer Simples,burger,30
2024-10-28,Monday,Batata Frita,side,27
2024-10-28,Monday,Refrigerante,drink,9
2024-10-28,Monday,Milkshake,drink,17
2024-10-28,Monday,Sobremesa,dessert,21
2024-10-29,Tuesday,Combo Hambúrguer + Batata,combo,50
2024-10-29,Tuesday,Hambúrguer Simples,burger,26
2024-10-29,Tuesday,Batata Frita,side,35
2024-10-29,Tuesday,Refrigerante,drink,21
2024-10-29,Tuesday,Milkshake,drink,22
2024-10-29,Tuesday,Sobremesa,dessert,10
2024-10-30,Wednesday,Combo Hambúrguer + Batata,combo,45
2024-10-30,Wednesday,Hambúrguer Simples,burger,29
2024-10-30,Wednesday,Batata Frita,side,26
2024-10-30,Wednesday,Refrigerante,drink,27
2024-10-30,Wednesday,Milkshake,drink,11
2024-10-30,Wednesday,Sobremesa,dessert,8
2024-10-31,Thursday,Combo Hambúrguer + Batata,combo,60
2024-10-31,Thursday,Hambúrguer Simples,burger,33
2024-10-31,Thursday,Batata Frita,side,17
2024-10-31,Thursday,Refrigerante,drink,15
2024-10-31,Thursday,Milkshake,drink,7
2024-10-31,Thursday,Sobremesa,dessert,11
2024-11-01,Friday,Combo Hambúrguer + Batata,combo,41
2024-11-01,Friday,Hambúrguer Simples,burger,27
2024-11-01,Friday,Batata Frita,side,27
2024-11-01,Friday,Refrigerante,drink,21
2024-11-01,Friday,Milkshake,drink,19
2024-11-01,Friday,Sobremesa,dessert,3
2024-11-02,Saturday,Combo Hambúrguer + Batata,combo,116
2024-11-02,Saturday,Hambúrguer Simples,burger,71
2024-11-02,Saturday,Batata Frita,side,57
2024-11-02,Saturday,Refrigerante,drink,52
2024-11-02,Saturday,Milkshake,drink,41
2024-11-02,Saturday,Sobremesa,dessert,28
2024-11-03,Sunday,Combo Hambúrguer + Batata,combo,83
2024-11-03,Sunday,Hambúrguer Simples,burger,39
2024-11-03,Sunday,Batata Frita,side,33
2024-11-03,Sunday,Refrigerante,drink,29
2024-11-03,Sunday,Milkshake,drink,21
2024-11-03,Sunday,Sobremesa,dessert,18
2024-11-04,Monday,Combo Hambúrguer + Batata,combo,63
2024-11-04,Monday,Hambúrguer Simples,burger,29
2024-11-04,Monday,Batata Frita,side,15
2024-11-04,Monday,Refrigerante,drink,32
2024-11-04,Monday,Milkshake,drink,14
2024-11-04,Monday,Sobremesa,dessert,2
2024-11-05,Tuesday,Combo Hambúrguer + Batata,combo,52
2024-11-05,Tuesday,Hambúrguer Simples,burger,39
2024-11-05,Tuesday,Batata Frita,side,24
2024-11-05,Tuesday,Refrigerante,drink,17
2024-11-05,Tuesday,Milkshake,drink,12
2024-11-05,Tuesday,Sobremesa,dessert,7
2024-11-06,Wednesday,Combo Hambúrguer + Batata,combo,51
2024-11-06,Wednesday,Hambúrguer Simples,burger,38
2024-11-06,Wednesday,Batata Frita,side,22
2024-11-06,Wednesday,Refrigerante,drink,14
2024-11-06,Wednesday,Milkshake,drink,13
2024-11-06,Wednesday,Sobremesa,dessert,19
2024-11-07,Thursday,Combo Hambúrguer + Batata,combo,43
2024-11-07,Thursday,Hambúrguer Simples,burger,32
2024-11-07,Thursday,Batata Frita,side,19
2024-11-07,Thursday,Refrigerante,drink,25
2024-11-07,Thursday,Milkshake,drink,9
2024-11-07,Thursday,Sobremesa,dessert,8
2024-11-08,Friday,Combo Hambúrguer + Batata,combo,58
2024-11-08,Friday,Hambúrguer Simples,burger,31
2024-11-08,Friday,Batata Frita,side,14
2024-11-08,Friday,Refrigerante,drink,10
2024-11-08,Friday,Milkshake,drink,18
2024-11-08,Friday,Sobremesa,dessert,14
2024-11-09,Saturday,Combo Hambúrguer + Batata,combo,72
2024-11-09,Saturday,Hambúrguer Simples,burger,40
2024-11-09,Saturday,Batata Frita,side,39
2024-11-09,Saturday,Refrigerante,drink,40
2024-11-09,Saturday,Milkshake,drink,13
2024-11-09,Saturday,Sobremesa,dessert,21
2024-11-10,Sunday,Combo Hambúrguer + Batata,combo,74
2024-11-10,Sunday,Hambúrguer Simples,burger,37
2024-11-10,Sunday,Batata Frita,side,40
2024-11-10,Sunday,Refrigerante,drink,38
2024-11-10,Sunday,Milkshake,drink,24
2024-11-10,Sunday,Sobremesa,dessert,14
2024-11-11,Monday,Combo Hambúrguer + Batata,combo,42
2024-11-11,Monday,Hambúrguer Simples,burger,22
2024-11-11,Monday,Batata Frita,side,26
2024-11-11,Monday,Refrigerante,drink,10
2024-11-11,Monday,Milkshake,drink,17
2024-11-11,Monday,Sobremesa,dessert,18
2024-11-12,Tuesday,Combo Hambúrguer + Batata,combo,55
2024-11-12,Tuesday,Hambúrguer Simples,burger,36
2024-11-12,Tuesday,Batata Frita,side,31
2024-11-12,Tuesday,Refrigerante,drink,12
2024-11-12,Tuesday,Milkshake,drink,17
2024-11-12,Tuesday,Sobremesa,dessert,4
2024-11-13,Wednesday,Combo Hambúrguer + Batata,combo,57
2024-11-13,Wednesday,Hambúrguer Simples,burger,37
2024-11-13,Wednesday,Batata Frita,side,23
2024-11-13,Wednesday,Refrigerante,drink,14
2024-11-13,Wednesday,Milkshake,drink,12
2024-11-13,Wednesday,Sobremesa,dessert,19
2024-11-14,Thursday,Combo Hambúrguer + Batata,combo,51
2024-11-14,Thursday,Hambúrguer Simples,burger,23
2024-11-14,Thursday,Batata Frita,side,28
2024-11-14,Thursday,Refrigerante,drink,24
2024-11-14,Thursday,Milkshake,drink,25
2024-11-14,Thursday,Sobremesa,dessert,8
2024-11-15,Friday,Combo Hambúrguer + Batata,combo,95
2024-11-15,Friday,Hambúrguer Simples,burger,40
2024-11-15,Friday,Batata Frita,side,47
2024-11-15,Friday,Refrigerante,drink,30
2024-11-15,Friday,Milkshake,drink,29
2024-11-15,Friday,Sobremesa,dessert,29
2024-11-16,Saturday,Combo Hambúrguer + Batata,combo,73
2024-11-16,Saturday,Hambúrguer Simples,burger,40
2024-11-16,Saturday,Batata Frita,side,26
2024-11-16,Saturday,Refrigerante,drink,34
2024-11-16,Saturday,Milkshake,drink,21
2024-11-16,Saturday,Sobremesa,dessert,12
2024-11-17,Sunday,Combo Hambúrguer + Batata,combo,76
2024-11-17,Sunday,Hambúrguer Simples,burger,36
2024-11-17,Sunday,Batata Frita,side,40
2024-11-17,Sunday,Refrigerante,drink,28
2024-11-17,Sunday,Milkshake,drink,20
2024-11-17,Sunday,Sobremesa,dessert,6
2024-11-18,Monday,Combo Hambúrguer + Batata,combo,49
2024-11-18,Monday,Hambúrguer Simples,burger,25
2024-11-18,Monday,Batata Frita,side,14
2024-11-18,Monday,Refrigerante,drink,21
2024-11-18,Monday,Milkshake,drink,7
2024-11-18,Monday,Sobremesa,dessert,17
2024-11-19,Tuesday,Combo Hambúrguer + Batata,combo,52
2024-11-19,Tuesday,Hambúrguer Simples,burger,27
2024-11-19,Tuesday,Batata Frita,side,15
2024-11-19,Tuesday,Refrigerante,drink,21
2024-11-19,Tuesday,Milkshake,drink,15
2024-11-19,Tuesday,Sobremesa,dessert,8
2024-11-20,Wednesday,Combo Hambúrguer + Batata,combo,45
2024-11-20,Wednesday,Hambúrguer Simples,burger,34
2024-11-20,Wednesday,Batata Frita,side,18
2024-11-20,Wednesday,Refrigerante,drink,22
2024-11-20,Wednesday,Milkshake,drink,7
2024-11-20,Wednesday,Sobremesa,dessert,7
2024-11-21,Thursday,Combo Hambúrguer + Batata,combo,44
2024-11-21,Thursday,Hambúrguer Simples,burger,24
2024-11-21,Thursday,Batata Frita,side,23
2024-11-21,Thursday,Refrigerante,drink,24
2024-11-21,Thursday,Milkshake,drink,12
2024-11-21,Thursday,Sobremesa,dessert,7
2024-11-22,Friday,Combo Hambúrguer + Batata,combo,47
2024-11-22,Friday,Hambúrguer Simples,burger,25
2024-11-22,Friday,Batata Frita,side,21
2024-11-22,Friday,Refrigerante,drink,19
2024-11-22,Friday,Milkshake,drink,13
2024-11-22,Friday,Sobremesa,dessert,10
2024-11-23,Saturday,Combo Hambúrguer + Batata,combo,69
2024-11-23,Saturday,Hambúrguer Simples,burger,50
2024-11-23,Saturday,Batata Frita,side,32
2024-11-23,Saturday,Refrigerante,drink,35
2024-11-23,Saturday,Milkshake,drink,30
2024-11-23,Saturday,Sobremesa,dessert,22
2024-11-24,Sunday,Combo Hambúrguer + Batata,combo,76
2024-11-24,Sunday,Hambúrguer Simples,burger,53
2024-11-24,Sunday,Batata Frita,side,28
2024-11-24,Sunday,Refrigerante,drink,30
2024-11-24,Sunday,Milkshake,drink,22
2024-11-24,Sunday,Sobremesa,dessert,19
2024-11-25,Monday,Combo Hambúrguer + Batata,combo,52
2024-11-25,Monday,Hambúrguer Simples,burger,32
2024-11-25,Monday,Batata Frita,side,22
2024-11-25,Monday,Refrigerante,drink,23
2024-11-25,Monday,Milkshake,drink,20
2024-11-25,Monday,Sobremesa,dessert,11
2024-11-26,Tuesday,Combo Hambúrguer + Batata,combo,50
2024-11-26,Tuesday,Hambúrguer Simples,burger,32
2024-11-26,Tuesday,Batata Frita,side,25
2024-11-26,Tuesday,Refrigerante,drink,22
2024-11-26,Tuesday,Milkshake,drink,6
2024-11-26,Tuesday,Sobremesa,dessert,10
2024-11-27,Wednesday,Combo Hambúrguer + Batata,combo,52
2024-11-27,Wednesday,Hambúrguer Simples,burger,26
2024-11-27,Wednesday,Batata Frita,side,25
2024-11-27,Wednesday,Refrigerante,drink,24
2024-11-27,Wednesday,Milkshake,drink,8
2024-11-27,Wednesday,Sobremesa,dessert,10
2024-11-28,Thursday,Combo Hambúrguer + Batata,combo,40
2024-11-28,Thursday,Hambúrguer Simples,burger,29
2024-11-28,Thursday,Batata Frita,side,22
2024-11-28,Thursday,Refrigerante,drink,26
2024-11-28,Thursday,Milkshake,drink,11
2024-11-28,Thursday,Sobremesa,dessert,17
2024-11-29,Friday,Combo Hambúrguer + Batata,combo,47
2024-11-29,Friday,Hambúrguer Simples,burger,35
2024-11-29,Friday,Batata Frita,side,28
2024-11-29,Friday,Refrigerante,drink,19
2024-11-29,Friday,Milkshake,drink,12
2024-11-29,Friday,Sobremesa,dessert,19
2024-11-30,Saturday,Combo Hambúrguer + Batata,combo,74
2024-11-30,Saturday,Hambúrguer Simples,burger,36
2024-11-30,Saturday,Batata Frita,side,29
2024-11-30,Saturday,Refrigerante,drink,34
2024-11-30,Saturday,Milkshake,drink,23
2024-11-30,Saturday,Sobremesa,dessert,9
2024-12-01,Sunday,Combo Hambúrguer + Batata,combo,70
2024-12-01,Sunday,Hambúrguer Simples,burger,42
2024-12-01,Sunday,Batata Frita,side,41
2024-12-01,Sunday,Refrigerante,drink,24
2024-12-01,Sunday,Milkshake,drink,18
2024-12-01,Sunday,Sobremesa,dessert,14
2024-12-02,Monday,Combo Hambúrguer + Batata,combo,41
2024-12-02,Monday,Hambúrguer Simples,burger,33
2024-12-02,Monday,Batata Frita,side,18
2024-12-02,Monday,Refrigerante,drink,13
2024-12-02,Monday,Milkshake,drink,16
2024-12-02,Monday,Sobremesa,dessert,15
2024-12-03,Tuesday,Combo Hambúrguer + Batata,combo,54
2024-12-03,Tuesday,Hambúrguer Simples,burger,40
2024-12-03,Tuesday,Batata Frita,side,18
2024-12-03,Tuesday,Refrigerante,drink,15
2024-12-03,Tuesday,Milkshake,drink,11
2024-12-03,Tuesday,Sobremesa,dessert,14
2024-12-04,Wednesday,Combo Hambúrguer + Batata,combo,48
2024-12-04,Wednesday,Hambúrguer Simples,burger,18
2024-12-04,Wednesday,Batata Frita,side,34
2024-12-04,Wednesday,Refrigerante,drink,14
2024-12-04,Wednesday,Milkshake,drink,12
2024-12-04,Wednesday,Sobremesa,dessert,9
2024-12-05,Thursday,Combo Hambúrguer + Batata,combo,51
2024-12-05,Thursday,Hambúrguer Simples,burger,21
2024-12-05,Thursday,Batata Frita,side,22
2024-12-05,Thursday,Refrigerante,drink,23
2024-12-05,Thursday,Milkshake,drink,18
2024-12-05,Thursday,Sobremesa,dessert,21
2024-12-06,Friday,Combo Hambúrguer + Batata,combo,52
2024-12-06,Friday,Hambúrguer Simples,burger,29
2024-12-06,Friday,Batata Frita,side,23
2024-12-06,Friday,Refrigerante,drink,30
2024-12-06,Friday,Milkshake,drink,26
2024-12-06,Friday,Sobremesa,dessert,3
2024-12-07,Saturday,Combo Hambúrguer + Batata,combo,72
2024-12-07,Saturday,Hambúrguer Simples,burger,45
2024-12-07,Saturday,Batata Frita,side,41
2024-12-07,Saturday,Refrigerante,drink,29
2024-12-07,Saturday,Milkshake,drink,23
2024-12-07,Saturday,Sobremesa,dessert,13
2024-12-08,Sunday,Combo Hambúrguer + Batata,combo,81
2024-12-08,Sunday,Hambúrguer Simples,burger,39
2024-12-08,Sunday,Batata Frita,side,52
2024-12-08,Sunday,Refrigerante,drink,29
2024-12-08,Sunday,Milkshake,drink,30
2024-12-08,Sunday,Sobremesa,dessert,23
2024-12-09,Monday,Combo Hambúrguer + Batata,combo,51
2024-12-09,Monday,Hambúrguer Simples,burger,32
2024-12-09,Monday,Batata Frita,side,27
2024-12-09,Monday,Refrigerante,drink,27
2024-12-09,Monday,Milkshake,drink,8
2024-12-09,Monday,Sobremesa,dessert,19
2024-12-10,Tuesday,Combo Hambúrguer + Batata,combo,44
2024-12-10,Tuesday,Hambúrguer Simples,burger,31
2024-12-10,Tuesday,Batata Frita,side,13
2024-12-10,Tuesday,Refrigerante,drink,21
2024-12-10,Tuesday,Milkshake,drink,17
2024-12-10,Tuesday,Sobremesa,dessert,11
2024-12-11,Wednesday,Combo Hambúrguer + Batata,combo,45
2024-12-11,Wednesday,Hambúrguer Simples,burger,27
2024-12-11,Wednesday,Batata Frita,side,20
2024-12-11,Wednesday,Refrigerante,drink,23
2024-12-11,Wednesday,Milkshake,drink,12
2024-12-11,Wednesday,Sobremesa,dessert,17
2024-12-12,Thursday,Combo Hambúrguer + Batata,combo,56
2024-12-12,Thursday,Hambúrguer Simples,burger,32
2024-12-12,Thursday,Batata Frita,side,29
2024-12-12,Thursday,Refrigerante,drink,18
2024-12-12,Thursday,Milkshake,drink,18
2024-12-12,Thursday,Sobremesa,dessert,3
2024-12-13,Friday,Combo Hambúrguer + Batata,combo,56
2024-12-13,Friday,Hambúrguer Simples,burger,26
2024-12-13,Friday,Batata Frita,side,29
2024-12-13,Friday,Refrigerante,drink,24
2024-12-13,Friday,Milkshake,drink,22
2024-12-13,Friday,Sobremesa,dessert,12
2024-12-14,Saturday,Combo Hambúrguer + Batata,combo,74
2024-12-14,Saturday,Hambúrguer Simples,burger,45
2024-12-14,Saturday,Batata Frita,side,27
2024-12-14,Saturday,Refrigerante,drink,29
2024-12-14,Saturday,Milkshake,drink,20
2024-12-14,Saturday,Sobremesa,dessert,13
2024-12-15,Sunday,Combo Hambúrguer + Batata,combo,77
2024-12-15,Sunday,Hambúrguer Simples,burger,45
2024-12-15,Sunday,Batata Frita,side,32
2024-12-15,Sunday,Refrigerante,drink,33
2024-12-15,Sunday,Milkshake,drink,26
2024-12-15,Sunday,Sobremesa,dessert,16
2024-12-16,Monday,Combo Hambúrguer + Batata,combo,49
2024-12-16,Monday,Hambúrguer Simples,burger,25
2024-12-16,Monday,Batata Frita,side,27
2024-12-16,Monday,Refrigerante,drink,14
2024-12-16,Monday,Milkshake,drink,15
2024-12-16,Monday,Sobremesa,dessert,5
2024-12-17,Tuesday,Combo Hambúrguer + Batata,combo,44
2024-12-17,Tuesday,Hambúrguer Simples,burger,27
2024-12-17,Tuesday,Batata Frita,side,26
2024-12-17,Tuesday,Refrigerante,drink,13
2024-12-17,Tuesday,Milkshake,drink,9
2024-12-17,Tuesday,Sobremesa,dessert,14
2024-12-18,Wednesday,Combo Hambúrguer + Batata,combo,50
2024-12-18,Wednesday,Hambúrguer Simples,burger,34
2024-12-18,Wednesday,Batata Frita,side,24
2024-12-18,Wednesday,Refrigerante,drink,21
2024-12-18,Wednesday,Milkshake,drink,16
2024-12-18,Wednesday,Sobremesa,dessert,7
2024-12-19,Thursday,Combo Hambúrguer + Batata,combo,60
2024-12-19,Thursday,Hambúrguer Simples,burger,30
2024-12-19,Thursday,Batata Frita,side,23
2024-12-19,Thursday,Refrigerante,drink,12
2024-12-19,Thursday,Milkshake,drink,13
2024-12-19,Thursday,Sobremesa,dessert,8
2024-12-20,Friday,Combo Hambúrguer + Batata,combo,53
2024-12-20,Friday,Hambúrguer Simples,burger,27
2024-12-20,Friday,Batata Frita,side,22
2024-12-20,Friday,Refrigerante,drink,10
2024-12-20,Friday,Milkshake,drink,14
2024-12-20,Friday,Sobremesa,dessert,18
2024-12-21,Saturday,Combo Hambúrguer + Batata,combo,76
2024-12-21,Saturday,Hambúrguer Simples,burger,49
2024-12-21,Saturday,Batata Frita,side,36
2024-12-21,Saturday,Refrigerante,drink,27
2024-12-21,Saturday,Milkshake,drink,15
2024-12-21,Saturday,Sobremesa,dessert,14
2024-12-22,Sunday,Combo Hambúrguer + Batata,combo,74
2024-12-22,Sunday,Hambúrguer Simples,burger,48
2024-12-22,Sunday,Batata Frita,side,36
2024-12-22,Sunday,Refrigerante,drink,37
2024-12-22,Sunday,Milkshake,drink,16
2024-12-22,Sunday,Sobremesa,dessert,6
2024-12-23,Monday,Combo Hambúrguer + Batata,combo,54
2024-12-23,Monday,Hambúrguer Simples,burger,27
2024-12-23,Monday,Batata Frita,side,26
2024-12-23,Monday,Refrigerante,drink,27
2024-12-23,Monday,Milkshake,drink,9
2024-12-23,Monday,Sobremesa,dessert,11
2024-12-24,Tuesday,Combo Hambúrguer + Batata,combo,47
2024-12-24,Tuesday,Hambúrguer Simples,burger,28
2024-12-24,Tuesday,Batata Frita,side,23
2024-12-24,Tuesday,Refrigerante,drink,17
2024-12-24,Tuesday,Milkshake,drink,19
2024-12-24,Tuesday,Sobremesa,dessert,6
2024-12-25,Wednesday,Combo Hambúrguer + Batata,combo,89
2024-12-25,Wednesday,Hambúrguer Simples,burger,51
2024-12-25,Wednesday,Batata Frita,side,48
2024-12-25,Wednesday,Refrigerante,drink,30
2024-12-25,Wednesday,Milkshake,drink,34
2024-12-25,Wednesday,Sobremesa,dessert,17
2024-12-26,Thursday,Combo Hambúrguer + Batata,combo,50
2024-12-26,Thursday,Hambúrguer Simples,burger,31
2024-12-26,Thursday,Batata Frita,side,26
2024-12-26,Thursday,Refrigerante,drink,28
2024-12-26,Thursday,Milkshake,drink,16
2024-12-26,Thursday,Sobremesa,dessert,0
2024-12-27,Friday,Combo Hambúrguer + Batata,combo,48
2024-12-27,Friday,Hambúrguer Simples,burger,32
2024-12-27,Friday,Batata Frita,side,27
2024-12-27,Friday,Refrigerante,drink,26
2024-12-27,Friday,Milkshake,drink,21
2024-12-27,Friday,Sobremesa,dessert,10
2024-12-28,Saturday,Combo Hambúrguer + Batata,combo,64
2024-12-28,Saturday,Hambúrguer Simples,burger,52
2024-12-28,Saturday,Batata Frita,side,39
2024-12-28,Saturday,Refrigerante,drink,29
2024-12-28,Saturday,Milkshake,drink,22
2024-12-28,Saturday,Sobremesa,dessert,17
2024-12-29,Sunday,Combo Hambúrguer + Batata,combo,74
2024-12-29,Sunday,Hambúrguer Simples,burger,44
2024-12-29,Sunday,Batata Frita,side,48
2024-12-29,Sunday,Refrigerante,drink,34
2024-12-29,Sunday,Milkshake,drink,31
